record_id,product_id,store_id,supplier_id,transaction_date,expiration_date,units_sold,units_wasted,revenue,waste_cost,profit,base_price,cost_price,selling_price
50,BEV_MIL_934,STORE_036,SUPPLIER_15,2024-05-31,2024-06-14,202,51,1854.36,291.72,407.2,9.18,5.72,9.18
51,BEV_KOM_869,STORE_050,SUPPLIER_17,2023-09-11,2023-10-04,235,0,1381.8,0,730.85,5.88,2.77,5.88
52,MEA_GRO_392,STORE_021,SUPPLIER_18,2023-08-29,2023-09-04,144,62,951.84,182.28,346.2,6.61,2.94,6.61
53,SEA_LOB_319,STORE_022,SUPPLIER_18,2023-03-07,2023-03-11,305,131,6774.05,1384.67,2165.53,25.24,10.57,22.21
54,FRO_FRO_888,STORE_025,SUPPLIER_16,2024-08-21,2024-10-12,395,0,1615.55,0,797.9,4.09,2.07,4.09
55,FRO_FRO_651,STORE_015,SUPPLIER_09,2024-07-13,2024-12-01,127,55,1393.19,246.4,577.83,10.97,4.48,10.97
56,FRO_ICE_960,STORE_035,SUPPLIER_01,2024-04-23,2024-07-18,0,349,0,3730.81,-3730.81,18.51,10.69,18.51
57,DAI_MIL_758,STORE_012,SUPPLIER_02,2024-03-14,2024-03-20,113,129,519.8,295.41,-34.38,4.6,2.29,4.6
58,DEL_SAL_879,STORE_017,SUPPLIER_03,2024-01-24,2024-01-30,36,0,380.88,0,142.92,10.58,6.61,10.58
59,DEL_TUR_765,STORE_049,SUPPLIER_01,2023-03-12,2023-03-25,20,0,345.8,0,186.8,17.29,7.95,17.29
60,REA_SAL_344,STORE_037,SUPPLIER_07,2023-05-10,2023-05-14,198,0,2187.9,0,1144.44,11.05,5.27,11.05
61,SEA_CRA_721,STORE_007,SUPPLIER_19,2023-04-28,2023-04-30,241,115,1617.11,508.3,43.59,8.95,4.42,6.71
62,FRO_FRO_832,STORE_007,SUPPLIER_10,2023-07-23,2023-10-14,71,0,1249.6,0,524.69,17.6,10.21,17.6
63,REA_SAN_455,STORE_005,SUPPLIER_17,2024-06-29,2024-07-02,126,99,1132.74,536.58,-86.76,13.42,5.42,8.99
64,BEV_FRE_543,STORE_046,SUPPLIER_05,2024-01-06,2024-01-26,246,97,1348.08,329.8,181.88,5.48,3.4,5.48
65,BAK_CRO_927,STORE_028,SUPPLIER_19,2024-07-05,2024-07-09,304,131,1319.36,471.6,-246.64,5.49,3.6,4.34
66,MEA_POR_561,STORE_022,SUPPLIER_01,2023-09-07,2023-09-14,181,78,2695.09,577.98,775.9,14.89,7.41,14.89
67,PRO_BAN_916,STORE_039,SUPPLIER_09,2023-09-22,2023-10-03,107,0,523.23,0,233.26,4.89,2.71,4.89
68,MEA_CHI_837,STORE_045,SUPPLIER_16,2024-02-21,2024-03-01,415,0,7436.8,0,3365.65,17.92,9.81,17.92
69,DAI_MIL_401,STORE_016,SUPPLIER_10,2023-08-15,2023-08-27,293,0,2531.52,0,1239.39,8.64,4.41,8.64
70,PHA_ANT_535,STORE_045,SUPPLIER_15,2024-07-17,2025-06-05,71,0,10393.69,0,5452.09,146.39,69.6,146.39
71,PRO_BAN_222,STORE_014,SUPPLIER_16,2024-07-02,2024-07-10,399,0,1173.06,0,494.76,2.94,1.7,2.94
72,PHA_EYE_389,STORE_015,SUPPLIER_12,2023-04-13,2023-10-21,198,85,20201.94,3506.25,8528.19,102.03,41.25,102.03
73,SEA_TUN_146,STORE_045,SUPPLIER_05,2023-02-25,2023-03-02,62,0,1959.2,0,732.84,31.6,19.78,31.6
74,DAI_CRE_391,STORE_022,SUPPLIER_06,2024-04-25,2024-05-12,315,136,3669.75,753.44,1171.21,11.65,5.54,11.65
75,BEV_FRE_941,STORE_005,SUPPLIER_19,2023-03-08,2023-03-24,86,0,605.44,0,353.46,7.04,2.93,7.04
76,REA_SUS_187,STORE_039,SUPPLIER_20,2023-09-12,2023-09-12,193,84,826.04,600.6,-1154.51,15.28,7.15,4.28
77,FRO_FRO_553,STORE_020,SUPPLIER_19,2023-11-01,2024-09-03,0,388,0,3154.44,-3154.44,13.94,8.13,10.46
78,MEA_SAU_312,STORE_043,SUPPLIER_03,2024-10-02,2024-10-07,42,6,341.88,22.08,165.24,8.14,3.68,8.14
79,SEA_SAL_518,STORE_031,SUPPLIER_10,2024-04-06,2024-04-11,154,0,1418.34,0,728.42,9.21,4.48,9.21
80,BEV_FRE_803,STORE_038,SUPPLIER_07,2023-08-28,2023-09-07,238,103,963.9,313.12,-72.74,5.4,3.04,4.05
81,SEA_TUN_946,STORE_011,SUPPLIER_10,2023-05-26,2023-05-28,360,121,10807.2,2351.03,1461.37,30.02,19.43,30.02
82,BAK_MUF_227,STORE_045,SUPPLIER_13,2024-04-24,2024-04-30,194,68,2764.5,533.12,710.42,14.25,7.84,14.25
83,BEV_FRE_712,STORE_021,SUPPLIER_20,2023-02-10,2023-02-25,155,200,620,342,12.95,4,1.71,4
84,REA_SOU_121,STORE_049,SUPPLIER_06,2024-11-19,2024-11-22,479,0,1968.69,0,-1202.29,11.12,6.62,4.11
85,BAK_PAS_699,STORE_006,SUPPLIER_16,2024-03-22,2024-03-28,247,106,1610.44,345.56,459.66,6.52,3.26,6.52
86,MEA_SAU_264,STORE_019,SUPPLIER_13,2023-12-04,2023-12-10,129,113,2195.58,1358.26,-713.26,21.27,12.02,17.02
87,MEA_POR_358,STORE_033,SUPPLIER_01,2023-11-28,2023-12-01,156,65,2123.16,663.65,-133.25,18.15,10.21,13.61
88,DAI_CHE_630,STORE_041,SUPPLIER_15,2024-01-06,2024-01-23,203,88,1948.8,389.84,659.67,9.6,4.43,9.6
89,SEA_TUN_548,STORE_002,SUPPLIER_20,2024-12-16,2024-12-21,127,42,3530.6,967.26,-361.47,37.57,23.03,27.8
90,PHA_INS_665,STORE_008,SUPPLIER_15,2024-02-22,2024-06-12,88,0,41740.16,0,16933.84,474.32,281.89,474.32
91,BEV_KOM_621,STORE_031,SUPPLIER_16,2024-12-23,2025-01-04,108,98,426.6,218.54,-32.78,3.95,2.23,3.95
92,PRO_BER_620,STORE_050,SUPPLIER_14,2023-05-20,2023-05-24,102,44,344.76,94.6,30.86,3.38,2.15,3.38
93,DAI_YOG_843,STORE_010,SUPPLIER_15,2023-11-02,2023-11-18,160,132,1182.4,491.04,96.16,7.39,3.72,7.39
94,PHA_PRO_566,STORE_037,SUPPLIER_13,2023-11-26,2024-06-06,32,0,4104.96,0,1507.84,128.28,81.16,128.28
95,DEL_DIP_584,STORE_043,SUPPLIER_05,2024-12-23,2024-12-29,160,107,1468.8,480.43,269.97,10.93,4.49,9.18
96,REA_SUS_990,STORE_034,SUPPLIER_15,2023-04-13,2023-04-17,318,137,1653.6,315.1,607.1,5.2,2.3,5.2
97,SEA_SAL_580,STORE_042,SUPPLIER_03,2023-09-29,2023-10-02,340,109,13436.8,2824.19,1803.21,39.52,25.91,39.52
98,PHA_PRO_424,STORE_003,SUPPLIER_20,2024-10-03,2025-10-29,336,145,16188.48,4116.55,2532.89,48.18,28.39,48.18
99,BAK_PAS_864,STORE_049,SUPPLIER_04,2023-04-03,2023-04-08,422,50,3278.94,236.5,1046.38,7.77,4.73,7.77
100,DAI_MIL_432,STORE_024,SUPPLIER_14,2023-02-27,2023-03-11,299,0,1034.54,0,454.48,3.46,1.94,3.46
101,SEA_SHR_279,STORE_040,SUPPLIER_08,2023-03-22,2023-03-27,99,29,2614.59,440.22,671.55,26.41,15.18,26.41
102,BEV_KOM_570,STORE_030,SUPPLIER_10,2023-09-19,2023-10-17,236,0,1470.28,0,686.76,7.42,3.32,6.23
103,DEL_HUM_406,STORE_030,SUPPLIER_10,2024-10-16,2024-10-23,164,93,1113.56,325.5,214.06,6.79,3.5,6.79
104,MEA_CHI_490,STORE_019,SUPPLIER_10,2024-08-08,2024-08-14,122,90,584.38,317.7,-163.98,5.44,3.53,4.79
105,BAK_BRE_679,STORE_039,SUPPLIER_16,2024-12-03,2024-12-10,385,22,4939.55,189.42,1435.28,12.83,8.61,12.83
106,PRO_BER_921,STORE_040,SUPPLIER_09,2023-12-27,2024-01-05,347,0,1991.78,0,763.4,5.74,3.54,5.74
107,SEA_LOB_199,STORE_020,SUPPLIER_15,2024-10-04,2024-10-11,77,0,710.71,0,348.81,9.23,4.7,9.23
108,MEA_POR_434,STORE_009,SUPPLIER_18,2024-03-01,2024-03-06,186,80,4190.58,918.4,1136.9,22.53,11.48,22.53
109,BAK_DON_268,STORE_048,SUPPLIER_11,2023-09-21,2023-09-25,42,6,523.32,40.38,200.28,12.46,6.73,12.46
110,SEA_TIL_331,STORE_026,SUPPLIER_18,2024-11-23,2024-11-28,9,8,193.77,109.76,-39.47,21.53,13.72,21.53
111,BAK_CRO_226,STORE_038,SUPPLIER_13,2024-04-10,2024-04-13,47,18,596.43,155.88,33.53,12.69,8.66,12.69
112,PRO_APP_125,STORE_040,SUPPLIER_08,2024-09-26,2024-10-14,214,33,1183.42,107.91,375.73,5.53,3.27,5.53
113,BAK_BAG_518,STORE_003,SUPPLIER_10,2023-04-30,2023-05-03,130,0,738.4,0,-106.6,14.95,6.5,5.68
114,PHA_VAC_497,STORE_038,SUPPLIER_05,2024-04-09,2025-02-05,305,131,135551.15,34726.79,19971.91,444.43,265.09,444.43
115,BEV_MIL_517,STORE_024,SUPPLIER_07,2023-10-14,2023-10-20,312,135,1731.6,513,33,5.55,3.8,5.55
116,DEL_HAM_802,STORE_004,SUPPLIER_13,2024-01-12,2024-01-21,329,166,2585.94,901.38,-101.91,7.86,5.43,7.86
117,BEV_FRE_778,STORE_002,SUPPLIER_02,2023-08-06,2023-08-24,59,15,489.11,58.8,199.03,8.29,3.92,8.29
118,REA_SAL_170,STORE_015,SUPPLIER_11,2024-07-21,2024-07-23,315,0,2564.1,0,-456.75,15.07,9.59,8.14
119,DAI_YOG_979,STORE_012,SUPPLIER_04,2023-05-29,2023-06-05,17,0,146.37,0,86.7,8.61,3.51,8.61
120,DEL_TUR_702,STORE_017,SUPPLIER_02,2023-11-28,2023-12-01,47,21,271.19,63.84,64.47,5.77,3.04,5.77
121,MEA_LAM_559,STORE_033,SUPPLIER_08,2024-01-06,2024-01-09,411,0,9827.01,0,5766.33,23.91,9.88,23.91
122,PHA_ANT_569,STORE_031,SUPPLIER_13,2024-10-20,2024-12-19,374,0,82930.76,0,47071.64,221.74,95.88,221.74
123,BEV_FRE_182,STORE_005,SUPPLIER_05,2023-11-26,2023-12-20,290,0,1218,0,498.8,4.2,2.48,4.2
124,DEL_PRE_711,STORE_033,SUPPLIER_20,2024-06-27,2024-07-03,36,32,295.92,204.48,-138.6,10.02,6.39,8.22
125,PHA_BIO_986,STORE_015,SUPPLIER_14,2023-08-09,2024-07-29,155,67,27803.9,6442.72,6456.38,179.38,96.16,179.38
126,MEA_POR_537,STORE_010,SUPPLIER_16,2023-11-17,2023-11-23,40,17,253.6,70.04,18.76,6.34,4.12,6.34
127,FRO_PIZ_862,STORE_004,SUPPLIER_19,2024-01-17,2024-04-17,214,139,4132.34,1526.22,256.4,19.31,10.98,19.31
128,MEA_LAM_462,STORE_019,SUPPLIER_20,2024-11-12,2024-11-21,269,0,3026.25,0,1721.6,11.25,4.85,11.25
129,PRO_TOM_772,STORE_023,SUPPLIER_18,2024-05-08,2024-05-18,212,91,756.84,203.84,78.12,3.57,2.24,3.57
130,PRO_GRA_539,STORE_039,SUPPLIER_09,2024-07-28,2024-08-17,400,0,392,0,160,1.2,0.58,0.98
131,BAK_CAK_459,STORE_037,SUPPLIER_13,2023-01-07,2023-01-10,20,5,58,9,13,2.9,1.8,2.9
132,MEA_GRO_643,STORE_030,SUPPLIER_11,2023-08-09,2023-08-15,83,93,534.52,373.86,-173,8.15,4.02,6.44
133,REA_SOU_186,STORE_049,SUPPLIER_20,2023-02-23,2023-02-25,236,0,507.4,0,-59,5.65,2.4,2.15
134,FRO_FRO_721,STORE_014,SUPPLIER_17,2024-03-28,2024-11-21,155,0,902.1,0,424.7,5.82,3.08,5.82
135,REA_WRA_639,STORE_015,SUPPLIER_13,2024-11-14,2024-11-17,79,35,1406.2,259.35,561.46,17.8,7.41,17.8
136,BAK_PAS_885,STORE_021,SUPPLIER_04,2023-05-21,2023-05-24,74,25,107.3,32.75,-22.39,2.1,1.31,1.45
137,SEA_COD_645,STORE_005,SUPPLIER_13,2024-12-21,2024-12-23,17,2,542.47,32.92,229.73,39.89,16.46,31.91
138,BEV_FRE_982,STORE_037,SUPPLIER_13,2023-11-17,2023-12-06,67,1,514.56,4.03,240.52,7.68,4.03,7.68
139,FRO_PIZ_432,STORE_024,SUPPLIER_03,2023-06-25,2024-01-18,0,233,0,1106.75,-1106.75,10.99,4.75,10.99
140,REA_WRA_636,STORE_048,SUPPLIER_11,2023-03-22,2023-03-25,29,20,228.52,99.8,-15.99,7.88,4.99,7.88
141,PHA_BIO_216,STORE_050,SUPPLIER_12,2024-06-27,2025-11-12,340,0,62995.2,0,19689.4,185.28,127.37,185.28
142,SEA_SHR_205,STORE_012,SUPPLIER_20,2023-05-30,2023-06-03,48,0,655.68,0,243.84,13.66,8.58,13.66
143,SEA_TIL_743,STORE_044,SUPPLIER_19,2024-05-20,2024-05-24,102,73,2367.42,1614.76,-1503.58,31.79,22.12,23.21
144,DEL_TUR_550,STORE_041,SUPPLIER_10,2023-03-11,2023-03-18,190,0,2878.5,0,1216,15.15,8.75,15.15
145,PHA_INS_417,STORE_004,SUPPLIER_12,2024-04-17,2025-08-13,316,136,108406.96,24069.28,28412,418.37,176.98,343.06
146,MEA_TUR_708,STORE_038,SUPPLIER_18,2024-06-03,2024-06-09,13,18,244.14,269.46,-219.93,24.08,14.97,18.78
147,BEV_MIL_767,STORE_031,SUPPLIER_17,2023-07-12,2023-07-25,62,0,199.02,0,115.94,3.21,1.34,3.21
148,DEL_DIP_186,STORE_003,SUPPLIER_08,2024-05-31,2024-06-12,278,0,3866.98,0,1170.38,13.91,9.7,13.91
149,PHA_EYE_262,STORE_025,SUPPLIER_14,2024-01-08,2024-12-12,36,0,14062.32,0,5573.16,390.62,235.81,390.62
150,DEL_HAM_437,STORE_019,SUPPLIER_09,2023-04-07,2023-04-15,331,143,3601.28,1206.92,-399.28,14.13,8.44,10.88
151,REA_SAL_441,STORE_023,SUPPLIER_10,2023-03-25,2023-03-30,210,0,3101.7,0,850.5,17.58,10.72,14.77
152,SEA_CRA_825,STORE_042,SUPPLIER_11,2023-03-28,2023-03-31,434,0,16531.06,0,6596.8,38.09,22.89,38.09
153,PHA_INS_761,STORE_024,SUPPLIER_01,2024-11-17,2025-10-16,0,119,0,10313.73,-10313.73,190.86,86.67,190.86
154,DEL_PRE_296,STORE_005,SUPPLIER_10,2023-08-20,2023-08-25,404,0,4666.2,0,1914.96,15.82,6.81,11.55
155,PHA_BIO_639,STORE_050,SUPPLIER_20,2023-02-08,2024-10-21,93,0,7306.08,0,3558.18,78.56,40.3,78.56
156,SEA_TIL_809,STORE_003,SUPPLIER_14,2024-10-01,2024-10-03,237,0,2495.61,0,-639.9,21.48,13.23,10.53
157,REA_SUS_870,STORE_020,SUPPLIER_16,2024-04-04,2024-04-06,357,0,5979.75,0,3241.56,16.75,7.67,16.75
158,REA_WRA_572,STORE_011,SUPPLIER_07,2023-10-16,2023-10-19,138,0,2127.96,0,1188.18,15.42,6.81,15.42
159,DAI_COT_592,STORE_046,SUPPLIER_17,2024-01-16,2024-02-06,400,0,4204,0,2164,10.51,5.1,10.51
160,SEA_TUN_560,STORE_006,SUPPLIER_08,2024-06-09,2024-06-11,486,0,6687.36,0,-5671.62,38.22,25.43,13.76
161,DAI_BUT_154,STORE_016,SUPPLIER_13,2024-02-10,2024-02-26,0,24,0,146.88,-146.88,11.95,6.12,11.95
162,DEL_HAM_959,STORE_009,SUPPLIER_02,2024-10-27,2024-11-04,366,0,2935.32,0,1032.12,8.02,5.2,8.02
163,SEA_TIL_822,STORE_006,SUPPLIER_01,2024-04-25,2024-04-30,260,30,3406,340.8,111.6,17.47,11.36,13.1
164,REA_SOU_533,STORE_020,SUPPLIER_04,2023-04-24,2023-04-27,416,0,2337.92,0,1106.56,5.62,2.96,5.62
165,REA_WRA_164,STORE_041,SUPPLIER_17,2023-04-24,2023-04-28,159,0,1984.32,0,763.2,12.48,7.68,12.48
166,FRO_PIZ_729,STORE_027,SUPPLIER_06,2023-12-28,2024-05-23,194,0,2186.38,0,977.76,14.63,6.23,11.27
167,MEA_TUR_657,STORE_031,SUPPLIER_02,2024-06-03,2024-06-05,72,67,943.92,824.1,-765.78,17.71,12.3,13.11
168,DAI_YOG_907,STORE_047,SUPPLIER_04,2023-03-11,2023-03-26,125,55,960,331.65,-125.4,9.72,6.03,7.68
169,SEA_SAL_460,STORE_050,SUPPLIER_15,2024-07-13,2024-07-17,103,0,4561.87,0,2082.66,44.29,24.07,44.29
170,SEA_SAL_833,STORE_013,SUPPLIER_02,2024-04-13,2024-04-14,171,0,3122.46,0,-1120.05,37.27,24.81,18.26
171,BAK_CRO_507,STORE_003,SUPPLIER_07,2024-07-10,2024-07-14,23,11,102.58,41.47,-25.6,5.72,3.77,4.46
172,DEL_SAL_227,STORE_048,SUPPLIER_15,2024-01-12,2024-01-18,69,36,1139.88,306.72,245.28,16.52,8.52,16.52
173,BEV_COL_476,STORE_047,SUPPLIER_14,2024-06-15,2024-06-30,431,0,1133.53,0,474.1,2.63,1.53,2.63
174,SEA_CRA_400,STORE_021,SUPPLIER_10,2023-11-25,2023-11-27,228,0,4409.52,0,1849.08,19.34,11.23,19.34
175,SEA_LOB_554,STORE_047,SUPPLIER_12,2023-12-26,2023-12-31,337,0,7980.16,0,2483.69,30.75,16.31,23.68
176,DAI_MIL_787,STORE_033,SUPPLIER_06,2024-10-14,2024-10-29,321,0,3701.13,0,2060.82,11.53,5.11,11.53
177,BEV_FRE_229,STORE_024,SUPPLIER_13,2023-03-10,2023-03-22,85,3,816,11.79,470.16,9.6,3.93,9.6
178,BEV_KOM_480,STORE_034,SUPPLIER_12,2024-03-30,2024-04-07,95,42,374.3,129.36,-47.66,5.18,3.08,3.94
179,MEA_BEE_853,STORE_036,SUPPLIER_04,2023-07-10,2023-07-17,166,72,1291.48,352.8,125.28,10.24,4.9,7.78
180,PRO_BER_392,STORE_008,SUPPLIER_05,2024-12-11,2024-12-28,329,141,2293.13,525.93,540.03,6.97,3.73,6.97
181,BEV_FRE_929,STORE_023,SUPPLIER_03,2024-11-29,2024-12-11,101,62,646.4,193.44,137.84,6.4,3.12,6.4
182,SEA_LOB_826,STORE_024,SUPPLIER_17,2024-12-18,2024-12-25,415,0,6764.5,0,2058.4,16.3,11.34,16.3
183,SEA_SHR_909,STORE_036,SUPPLIER_19,2024-05-20,2024-05-21,204,88,1721.76,1221.44,-2331.2,21.65,13.88,8.44
184,SEA_CRA_188,STORE_046,SUPPLIER_16,2023-03-09,2023-03-12,428,3,11748.6,51.93,4287.99,27.45,17.31,27.45
185,REA_SAN_228,STORE_030,SUPPLIER_17,2023-11-21,2023-11-21,286,123,949.52,773.67,-1623.09,9.48,6.29,3.32
186,PHA_BIO_701,STORE_033,SUPPLIER_02,2023-07-06,2023-11-18,165,0,55205.7,0,16877.85,418.22,232.29,334.58
187,SEA_SHR_430,STORE_034,SUPPLIER_10,2024-12-27,2024-12-29,234,101,6713.46,1885.67,459.01,39.3,18.67,28.69
188,PHA_ANT_228,STORE_035,SUPPLIER_03,2024-10-02,2025-06-21,247,245,63911.25,28564.55,6548.97,258.75,116.59,258.75
189,REA_SAL_275,STORE_037,SUPPLIER_02,2024-11-05,2024-11-09,9,24,97.65,154.32,-114.54,15.73,6.43,10.85
190,REA_SUS_766,STORE_040,SUPPLIER_01,2023-08-04,2023-08-08,67,91,607.02,614.25,-459.48,11.47,6.75,9.06
191,BAK_MUF_350,STORE_030,SUPPLIER_03,2024-12-02,2024-12-06,137,85,869.95,416.5,-217.85,10.95,4.9,6.35
192,BEV_COL_308,STORE_021,SUPPLIER_11,2023-12-15,2024-01-08,180,34,1416.6,176.12,308.08,7.87,5.18,7.87
193,SEA_TIL_479,STORE_021,SUPPLIER_08,2024-06-11,2024-06-17,136,0,3435.36,0,1785.68,25.26,12.13,25.26
194,SEA_SAL_151,STORE_016,SUPPLIER_06,2023-10-25,2023-10-29,252,127,9601.2,3290.57,-218.69,38.1,25.91,38.1
195,DEL_TUR_881,STORE_032,SUPPLIER_10,2023-06-13,2023-06-20,211,0,2312.56,0,1325.08,10.96,4.68,10.96
196,PHA_PRO_346,STORE_004,SUPPLIER_02,2023-08-09,2025-01-27,376,65,56948.96,5702.45,18260.03,151.46,87.73,151.46
197,BEV_KOM_649,STORE_009,SUPPLIER_09,2023-01-09,2023-01-16,111,86,868.02,423.12,-101.22,7.82,4.92,7.82
