full_date,date_key,day_of_week,is_weekend,month,day,year,quarter,week_of_year
2024-03-22,20240322,4,0,3,22,2024,1,12
2023-12-04,20231204,0,0,12,4,2023,4,49
2023-11-28,20231128,1,0,11,28,2023,4,48
2024-01-06,20240106,5,1,1,6,2024,1,1
2024-12-16,20241216,0,0,12,16,2024,4,51
2024-02-22,20240222,3,0,2,22,2024,1,8
2024-12-23,20241223,0,0,12,23,2024,4,52
2023-05-20,20230520,5,1,5,20,2023,2,20
2023-11-02,20231102,3,0,11,2,2023,4,44
2023-11-26,20231126,6,1,11,26,2023,4,48
2024-12-23,20241223,0,0,12,23,2024,4,52
2023-04-13,20230413,3,0,4,13,2023,2,15
2023-09-29,20230929,4,0,9,29,2023,3,39
2024-10-03,20241003,3,0,10,3,2024,4,40
2023-04-03,20230403,0,0,4,3,2023,2,14
2023-02-27,20230227,0,0,2,27,2023,1,9
2023-03-22,20230322,2,0,3,22,2023,1,12
2023-09-19,20230919,1,0,9,19,2023,3,38
2024-10-16,20241016,2,0,10,16,2024,4,42
2024-08-08,20240808,3,0,8,8,2024,3,32
2024-12-03,20241203,1,0,12,3,2024,4,49
2023-12-27,20231227,2,0,12,27,2023,4,52
2024-10-04,20241004,4,0,10,4,2024,4,40
2024-03-01,20240301,4,0,3,1,2024,1,9
2023-09-21,20230921,3,0,9,21,2023,3,38
2024-11-23,20241123,5,1,11,23,2024,4,47
2024-04-10,20240410,2,0,4,10,2024,2,15
2024-09-26,20240926,3,0,9,26,2024,3,39
2023-04-30,20230430,6,1,4,30,2023,2,18
2024-04-09,20240409,1,0,4,9,2024,2,15
2023-10-14,20231014,5,1,10,14,2023,4,41
2024-01-12,20240112,4,0,1,12,2024,1,2
2023-08-06,20230806,6,1,8,6,2023,3,32
2024-07-21,20240721,6,1,7,21,2024,3,30
2023-05-29,20230529,0,0,5,29,2023,2,22
2023-11-28,20231128,1,0,11,28,2023,4,48
2024-01-06,20240106,5,1,1,6,2024,1,1
2024-10-20,20241020,6,1,10,20,2024,4,43
2023-11-26,20231126,6,1,11,26,2023,4,48
2024-06-27,20240627,3,0,6,27,2024,2,26
2023-08-09,20230809,2,0,8,9,2023,3,32
2023-11-17,20231117,4,0,11,17,2023,4,46
2024-01-17,20240117,2,0,1,17,2024,1,3
2024-11-12,20241112,1,0,11,12,2024,4,46
2024-05-08,20240508,2,0,5,8,2024,2,19
2024-07-28,20240728,6,1,7,28,2024,3,31
2023-01-07,20230107,5,1,1,7,2023,1,1
2023-08-09,20230809,2,0,8,9,2023,3,32
2023-02-23,20230223,3,0,2,23,2023,1,8
2024-03-28,20240328,3,0,3,28,2024,1,13
2024-11-14,20241114,3,0,11,14,2024,4,46
2023-05-21,20230521,6,1,5,21,2023,2,21
2024-12-21,20241221,5,1,12,21,2024,4,51
2023-11-17,20231117,4,0,11,17,2023,4,46
2023-06-25,20230625,6,1,6,25,2023,2,26
2023-03-22,20230322,2,0,3,22,2023,1,12
2024-06-27,20240627,3,0,6,27,2024,2,26
2023-05-30,20230530,1,0,5,30,2023,2,22
2024-05-20,20240520,0,0,5,20,2024,2,21
2023-03-11,20230311,5,1,3,11,2023,1,10
2024-04-17,20240417,2,0,4,17,2024,2,16
2024-06-03,20240603,0,0,6,3,2024,2,23
2023-07-12,20230712,2,0,7,12,2023,3,28
2024-05-31,20240531,4,0,5,31,2024,2,22
2024-01-08,20240108,0,0,1,8,2024,1,2
2023-04-07,20230407,4,0,4,7,2023,2,14
2023-03-25,20230325,5,1,3,25,2023,1,12
2023-03-28,20230328,1,0,3,28,2023,1,13
2024-11-17,20241117,6,1,11,17,2024,4,47
2023-08-20,20230820,6,1,8,20,2023,3,34
2023-02-08,20230208,2,0,2,8,2023,1,6
2024-10-01,20241001,1,0,10,1,2024,4,40
2024-04-04,20240404,3,0,4,4,2024,2,14
2023-10-16,20231016,0,0,10,16,2023,4,42
2024-01-16,20240116,1,0,1,16,2024,1,3
2024-06-09,20240609,6,1,6,9,2024,2,24
2024-02-10,20240210,5,1,2,10,2024,1,6
2024-10-27,20241027,6,1,10,27,2024,4,44
2024-04-25,20240425,3,0,4,25,2024,2,17
2023-04-24,20230424,0,0,4,24,2023,2,17
2023-04-24,20230424,0,0,4,24,2023,2,17
2023-12-28,20231228,3,0,12,28,2023,4,52
2024-06-03,20240603,0,0,6,3,2024,2,23
2023-03-11,20230311,5,1,3,11,2023,1,10
2024-07-13,20240713,5,1,7,13,2024,3,28
2024-04-13,20240413,5,1,4,13,2024,2,15
2024-07-10,20240710,2,0,7,10,2024,3,28
2024-01-12,20240112,4,0,1,12,2024,1,2
2024-06-15,20240615,5,1,6,15,2024,2,24
2023-11-25,20231125,5,1,11,25,2023,4,47
2023-12-26,20231226,1,0,12,26,2023,4,52
2024-10-14,20241014,0,0,10,14,2024,4,42
2023-03-10,20230310,4,0,3,10,2023,1,10
2024-03-30,20240330,5,1,3,30,2024,1,13
2023-07-10,20230710,0,0,7,10,2023,3,28
2024-12-11,20241211,2,0,12,11,2024,4,50
2024-11-29,20241129,4,0,11,29,2024,4,48
2024-12-18,20241218,2,0,12,18,2024,4,51
2024-05-20,20240520,0,0,5,20,2024,2,21
2023-03-09,20230309,3,0,3,9,2023,1,10
2023-11-21,20231121,1,0,11,21,2023,4,47
2023-07-06,20230706,3,0,7,6,2023,3,27
2024-12-27,20241227,4,0,12,27,2024,4,52
2024-10-02,20241002,2,0,10,2,2024,4,40
2024-11-05,20241105,1,0,11,5,2024,4,45
2023-08-04,20230804,4,0,8,4,2023,3,31
2024-12-02,20241202,0,0,12,2,2024,4,49
2023-12-15,20231215,4,0,12,15,2023,4,50
2024-06-11,20240611,1,0,6,11,2024,2,24
2023-10-25,20231025,2,0,10,25,2023,4,43
2023-06-13,20230613,1,0,6,13,2023,2,24
2023-08-09,20230809,2,0,8,9,2023,3,32
2023-01-09,20230109,0,0,1,9,2023,1,2
2024-08-06,20240806,1,0,8,6,2024,3,32
2024-09-30,20240930,0,0,9,30,2024,3,40
2023-05-28,20230528,6,1,5,28,2023,2,22
2024-04-12,20240412,4,0,4,12,2024,2,15
2024-06-03,20240603,0,0,6,3,2024,2,23
2024-03-02,20240302,5,1,3,2,2024,1,9
2023-02-22,20230222,2,0,2,22,2023,1,8
2024-11-28,20241128,3,0,11,28,2024,4,48
2023-07-28,20230728,4,0,7,28,2023,3,30
2024-06-22,20240622,5,1,6,22,2024,2,25
2023-07-16,20230716,6,1,7,16,2023,3,29
2024-12-07,20241207,5,1,12,7,2024,4,49
2024-08-10,20240810,5,1,8,10,2024,3,32
2023-10-22,20231022,6,1,10,22,2023,4,43
2023-10-05,20231005,3,0,10,5,2023,4,40
2024-06-27,20240627,3,0,6,27,2024,2,26
2023-06-11,20230611,6,1,6,11,2023,2,24
2024-10-29,20241029,1,0,10,29,2024,4,44
2024-02-11,20240211,6,1,2,11,2024,1,7
2023-10-19,20231019,3,0,10,19,2023,4,42
2024-04-14,20240414,6,1,4,14,2024,2,16
2023-07-17,20230717,0,0,7,17,2023,3,29
2023-11-28,20231128,1,0,11,28,2023,4,48
2024-08-09,20240809,4,0,8,9,2024,3,32
2024-02-20,20240220,1,0,2,20,2024,1,8
2023-08-15,20230815,1,0,8,15,2023,3,33
2024-07-04,20240704,3,0,7,4,2024,3,27
2023-03-21,20230321,1,0,3,21,2023,1,12
2024-06-16,20240616,6,1,6,16,2024,2,25
2023-02-26,20230226,6,1,2,26,2023,1,9
2024-02-10,20240210,5,1,2,10,2024,1,6
2023-03-12,20230312,6,1,3,12,2023,1,11
2024-04-04,20240404,3,0,4,4,2024,2,14
2024-06-25,20240625,1,0,6,25,2024,2,26
2024-01-24,20240124,2,0,1,24,2024,1,4
2024-11-07,20241107,3,0,11,7,2024,4,45
2023-02-19,20230219,6,1,2,19,2023,1,8
2023-10-24,20231024,1,0,10,24,2023,4,43
2023-05-27,20230527,5,1,5,27,2023,2,21
2024-03-13,20240313,2,0,3,13,2024,1,11
2024-03-02,20240302,5,1,3,2,2024,1,9
2024-12-25,20241225,2,0,12,25,2024,4,52
2023-09-19,20230919,1,0,9,19,2023,3,38
2023-07-15,20230715,5,1,7,15,2023,3,28
2024-07-26,20240726,4,0,7,26,2024,3,30
2024-05-05,20240505,6,1,5,5,2024,2,19
2024-01-03,20240103,2,0,1,3,2024,1,1
2024-01-15,20240115,0,0,1,15,2024,1,3
2024-08-16,20240816,4,0,8,16,2024,3,33
2024-11-01,20241101,4,0,11,1,2024,4,44
2023-12-27,20231227,2,0,12,27,2023,4,52
2023-03-18,20230318,5,1,3,18,2023,1,11
2023-01-10,20230110,1,0,1,10,2023,1,2
2024-05-14,20240514,1,0,5,14,2024,2,20
2023-01-18,20230118,2,0,1,18,2023,1,3
2023-09-04,20230904,0,0,9,4,2023,3,36
2024-04-15,20240415,0,0,4,15,2024,2,16
2024-01-24,20240124,2,0,1,24,2024,1,4
2023-12-06,20231206,2,0,12,6,2023,4,49
2023-02-17,20230217,4,0,2,17,2023,1,7
2024-08-24,20240824,5,1,8,24,2024,3,34
2024-01-29,20240129,0,0,1,29,2024,1,5
2024-09-20,20240920,4,0,9,20,2024,3,38
2024-03-18,20240318,0,0,3,18,2024,1,12
2024-01-25,20240125,3,0,1,25,2024,1,4
2023-10-04,20231004,2,0,10,4,2023,4,40
2023-04-02,20230402,6,1,4,2,2023,2,14
2024-02-02,20240202,4,0,2,2,2024,1,5
2024-01-25,20240125,3,0,1,25,2024,1,4
2023-11-03,20231103,4,0,11,3,2023,4,44
2023-07-20,20230720,3,0,7,20,2023,3,29
2023-12-04,20231204,0,0,12,4,2023,4,49
2023-07-01,20230701,5,1,7,1,2023,3,26
2024-02-07,20240207,2,0,2,7,2024,1,6
2024-04-17,20240417,2,0,4,17,2024,2,16
2023-11-07,20231107,1,0,11,7,2023,4,45
2024-08-19,20240819,0,0,8,19,2024,3,34
2023-03-29,20230329,2,0,3,29,2023,1,13
2024-03-16,20240316,5,1,3,16,2024,1,11
2023-08-15,20230815,1,0,8,15,2023,3,33
2024-05-09,20240509,3,0,5,9,2024,2,19
2024-04-11,20240411,3,0,4,11,2024,2,15
2023-11-04,20231104,5,1,11,4,2023,4,44
2024-06-12,20240612,2,0,6,12,2024,2,24
2024-10-17,20241017,3,0,10,17,2024,4,42
2023-08-08,20230808,1,0,8,8,2023,3,32
2023-07-21,20230721,4,0,7,21,2023,3,29
2024-08-24,20240824,5,1,8,24,2024,3,34
2023-03-28,20230328,1,0,3,28,2023,1,13
2024-03-04,20240304,0,0,3,4,2024,1,10
2024-05-16,20240516,3,0,5,16,2024,2,20
2023-05-20,20230520,5,1,5,20,2023,2,20
2023-06-21,20230621,2,0,6,21,2023,2,25
2024-04-13,20240413,5,1,4,13,2024,2,15
2024-01-11,20240111,3,0,1,11,2024,1,2
2023-02-03,20230203,4,0,2,3,2023,1,5
2024-08-25,20240825,6,1,8,25,2024,3,35
2024-08-06,20240806,1,0,8,6,2024,3,32
2023-10-01,20231001,6,1,10,1,2023,4,40
2024-11-02,20241102,5,1,11,2,2024,4,44
2024-08-14,20240814,2,0,8,14,2024,3,33
2023-10-12,20231012,3,0,10,12,2023,4,41
2024-10-12,20241012,5,1,10,12,2024,4,41
2023-10-18,20231018,2,0,10,18,2023,4,42
2024-10-03,20241003,3,0,10,3,2024,4,40
2024-12-06,20241206,4,0,12,6,2024,4,49
2023-06-19,20230619,0,0,6,19,2023,2,25
2023-01-02,20230102,0,0,1,2,2023,1,1
2023-12-18,20231218,0,0,12,18,2023,4,51
2024-01-12,20240112,4,0,1,12,2024,1,2
2024-09-16,20240916,0,0,9,16,2024,3,38
2024-03-29,20240329,4,0,3,29,2024,1,13
2023-05-24,20230524,2,0,5,24,2023,2,21
2024-12-08,20241208,6,1,12,8,2024,4,50
2023-09-03,20230903,6,1,9,3,2023,3,36
2023-05-16,20230516,1,0,5,16,2023,2,20
2023-03-11,20230311,5,1,3,11,2023,1,10
2024-12-30,20241230,0,0,12,30,2024,4,53
2023-11-14,20231114,1,0,11,14,2023,4,46
2024-03-23,20240323,5,1,3,23,2024,1,12
2024-11-13,20241113,2,0,11,13,2024,4,46
2023-09-23,20230923,5,1,9,23,2023,3,38
2024-03-15,20240315,4,0,3,15,2024,1,11
2024-01-04,20240104,3,0,1,4,2024,1,1
2023-04-29,20230429,5,1,4,29,2023,2,17
2023-02-06,20230206,0,0,2,6,2023,1,6
2023-03-21,20230321,1,0,3,21,2023,1,12
2023-03-12,20230312,6,1,3,12,2023,1,11
2024-07-31,20240731,2,0,7,31,2024,3,31
2023-09-09,20230909,5,1,9,9,2023,3,36
2024-11-04,20241104,0,0,11,4,2024,4,45
2023-05-26,20230526,4,0,5,26,2023,2,21
2023-03-28,20230328,1,0,3,28,2023,1,13
2024-11-09,20241109,5,1,11,9,2024,4,45
2023-10-06,20231006,4,0,10,6,2023,4,40
2024-04-22,20240422,0,0,4,22,2024,2,17
2023-05-03,20230503,2,0,5,3,2023,2,18
2023-12-02,20231202,5,1,12,2,2023,4,48
2023-06-28,20230628,2,0,6,28,2023,2,26
2023-05-24,20230524,2,0,5,24,2023,2,21
2023-09-23,20230923,5,1,9,23,2023,3,38
2023-12-06,20231206,2,0,12,6,2023,4,49
2024-01-27,20240127,5,1,1,27,2024,1,4
2024-09-26,20240926,3,0,9,26,2024,3,39
2024-01-28,20240128,6,1,1,28,2024,1,5
2024-12-31,20241231,1,0,12,31,2024,4,53
2023-01-27,20230127,4,0,1,27,2023,1,4
2023-06-13,20230613,1,0,6,13,2023,2,24
2024-08-12,20240812,0,0,8,12,2024,3,33
2024-12-21,20241221,5,1,12,21,2024,4,51
2023-06-29,20230629,3,0,6,29,2023,2,26
2024-09-20,20240920,4,0,9,20,2024,3,38
2024-08-23,20240823,4,0,8,23,2024,3,34
2024-02-10,20240210,5,1,2,10,2024,1,6
2023-11-21,20231121,1,0,11,21,2023,4,47
2024-12-06,20241206,4,0,12,6,2024,4,49
2024-09-08,20240908,6,1,9,8,2024,3,37
2023-11-24,20231124,4,0,11,24,2023,4,47
2023-04-21,20230421,4,0,4,21,2023,2,16
2023-12-26,20231226,1,0,12,26,2023,4,52
2023-03-17,20230317,4,0,3,17,2023,1,11
2023-03-18,20230318,5,1,3,18,2023,1,11
2023-06-18,20230618,6,1,6,18,2023,2,25
2024-07-07,20240707,6,1,7,7,2024,3,28
2024-01-05,20240105,4,0,1,5,2024,1,1
2023-07-31,20230731,0,0,7,31,2023,3,31
2024-11-07,20241107,3,0,11,7,2024,4,45
2023-02-15,20230215,2,0,2,15,2023,1,7
2024-11-14,20241114,3,0,11,14,2024,4,46
2023-03-04,20230304,5,1,3,4,2023,1,9
2023-02-05,20230205,6,1,2,5,2023,1,6
2024-03-09,20240309,5,1,3,9,2024,1,10
2024-07-23,20240723,1,0,7,23,2024,3,30
2024-03-05,20240305,1,0,3,5,2024,1,10
2023-04-14,20230414,4,0,4,14,2023,2,15
2023-06-26,20230626,0,0,6,26,2023,2,26
2023-09-01,20230901,4,0,9,1,2023,3,35
2024-05-18,20240518,5,1,5,18,2024,2,20
2024-03-02,20240302,5,1,3,2,2024,1,9
2024-01-18,20240118,3,0,1,18,2024,1,3
2023-06-27,20230627,1,0,6,27,2023,2,26
2024-04-20,20240420,5,1,4,20,2024,2,16
2024-04-30,20240430,1,0,4,30,2024,2,18
2024-01-31,20240131,2,0,1,31,2024,1,5
2024-02-24,20240224,5,1,2,24,2024,1,8
2023-09-16,20230916,5,1,9,16,2023,3,37
2024-04-22,20240422,0,0,4,22,2024,2,17
2024-08-31,20240831,5,1,8,31,2024,3,35
2024-11-02,20241102,5,1,11,2,2024,4,44
2023-11-24,20231124,4,0,11,24,2023,4,47
2023-02-06,20230206,0,0,2,6,2023,1,6
2024-05-02,20240502,3,0,5,2,2024,2,18
2023-04-10,20230410,0,0,4,10,2023,2,15
2024-11-01,20241101,4,0,11,1,2024,4,44
2024-08-22,20240822,3,0,8,22,2024,3,34
2023-07-19,20230719,2,0,7,19,2023,3,29
2023-12-17,20231217,6,1,12,17,2023,4,51
2023-07-01,20230701,5,1,7,1,2023,3,26
2023-06-12,20230612,0,0,6,12,2023,2,24
2023-02-08,20230208,2,0,2,8,2023,1,6
2024-11-23,20241123,5,1,11,23,2024,4,47
2024-05-30,20240530,3,0,5,30,2024,2,22
2024-06-20,20240620,3,0,6,20,2024,2,25
2024-02-18,20240218,6,1,2,18,2024,1,8
2024-12-29,20241229,6,1,12,29,2024,4,53
2024-10-31,20241031,3,0,10,31,2024,4,44
2023-06-06,20230606,1,0,6,6,2023,2,23
2023-05-21,20230521,6,1,5,21,2023,2,21
2023-07-24,20230724,0,0,7,24,2023,3,30
2024-12-05,20241205,3,0,12,5,2024,4,49
2023-06-02,20230602,4,0,6,2,2023,2,22
2023-02-21,20230221,1,0,2,21,2023,1,8
2023-02-16,20230216,3,0,2,16,2023,1,7
2023-04-06,20230406,3,0,4,6,2023,2,14
2024-03-07,20240307,3,0,3,7,2024,1,10
2024-08-05,20240805,0,0,8,5,2024,3,32
2023-04-26,20230426,2,0,4,26,2023,2,17
2024-08-01,20240801,3,0,8,1,2024,3,31
2023-12-21,20231221,3,0,12,21,2023,4,51
2024-05-22,20240522,2,0,5,22,2024,2,21
2024-07-17,20240717,2,0,7,17,2024,3,29
2024-05-25,20240525,5,1,5,25,2024,2,21
2024-07-16,20240716,1,0,7,16,2024,3,29
2024-04-12,20240412,4,0,4,12,2024,2,15
2024-11-03,20241103,6,1,11,3,2024,4,45
2023-10-26,20231026,3,0,10,26,2023,4,43
2024-09-17,20240917,1,0,9,17,2024,3,38
2024-02-29,20240229,3,0,2,29,2024,1,9
2024-06-27,20240627,3,0,6,27,2024,2,26
2023-06-27,20230627,1,0,6,27,2023,2,26
2024-09-15,20240915,6,1,9,15,2024,3,38
2024-12-17,20241217,1,0,12,17,2024,4,51
2023-07-25,20230725,1,0,7,25,2023,3,30
2024-12-11,20241211,2,0,12,11,2024,4,50
2024-03-03,20240303,6,1,3,3,2024,1,10
2023-07-24,20230724,0,0,7,24,2023,3,30
2024-07-08,20240708,0,0,7,8,2024,3,28
2024-07-28,20240728,6,1,7,28,2024,3,31
2024-12-02,20241202,0,0,12,2,2024,4,49
2024-12-22,20241222,6,1,12,22,2024,4,52
2023-07-01,20230701,5,1,7,1,2023,3,26
2023-06-14,20230614,2,0,6,14,2023,2,24
2023-02-22,20230222,2,0,2,22,2023,1,8
2023-11-22,20231122,2,0,11,22,2023,4,47
2023-12-24,20231224,6,1,12,24,2023,4,52
2024-07-28,20240728,6,1,7,28,2024,3,31
2024-11-29,20241129,4,0,11,29,2024,4,48
2024-06-04,20240604,1,0,6,4,2024,2,23
2024-07-04,20240704,3,0,7,4,2024,3,27
2024-12-20,20241220,4,0,12,20,2024,4,51
2023-07-02,20230702,6,1,7,2,2023,3,27
2024-02-19,20240219,0,0,2,19,2024,1,8
2024-08-22,20240822,3,0,8,22,2024,3,34
2024-03-24,20240324,6,1,3,24,2024,1,13
2024-10-11,20241011,4,0,10,11,2024,4,41
2023-02-12,20230212,6,1,2,12,2023,1,7
2023-12-19,20231219,1,0,12,19,2023,4,51
2023-07-05,20230705,2,0,7,5,2023,3,27
2023-07-22,20230722,5,1,7,22,2023,3,29
2023-11-22,20231122,2,0,11,22,2023,4,47
2023-11-20,20231120,0,0,11,20,2023,4,47
2024-01-04,20240104,3,0,1,4,2024,1,1
2024-10-23,20241023,2,0,10,23,2024,4,43
2023-01-20,20230120,4,0,1,20,2023,1,3
2024-10-31,20241031,3,0,10,31,2024,4,44
2024-05-28,20240528,1,0,5,28,2024,2,22
2024-06-10,20240610,0,0,6,10,2024,2,24
2024-05-10,20240510,4,0,5,10,2024,2,19
2024-06-14,20240614,4,0,6,14,2024,2,24
2024-06-17,20240617,0,0,6,17,2024,2,25
2024-10-31,20241031,3,0,10,31,2024,4,44
2024-05-08,20240508,2,0,5,8,2024,2,19
2023-07-11,20230711,1,0,7,11,2023,3,28
2024-05-05,20240505,6,1,5,5,2024,2,19
2024-08-29,20240829,3,0,8,29,2024,3,35
2024-06-13,20240613,3,0,6,13,2024,2,24
2023-08-13,20230813,6,1,8,13,2023,3,33
2024-12-03,20241203,1,0,12,3,2024,4,49
2023-07-27,20230727,3,0,7,27,2023,3,30
2023-02-09,20230209,3,0,2,9,2023,1,6
2023-01-02,20230102,0,0,1,2,2023,1,1
2024-08-26,20240826,0,0,8,26,2024,3,35
2024-07-10,20240710,2,0,7,10,2024,3,28
2023-01-08,20230108,6,1,1,8,2023,1,2
2024-07-02,20240702,1,0,7,2,2024,3,27
2024-07-24,20240724,2,0,7,24,2024,3,30
2024-12-23,20241223,0,0,12,23,2024,4,52
2024-06-04,20240604,1,0,6,4,2024,2,23
2023-04-04,20230404,1,0,4,4,2023,2,14
2024-01-29,20240129,0,0,1,29,2024,1,5
2023-07-26,20230726,2,0,7,26,2023,3,30
2024-11-21,20241121,3,0,11,21,2024,4,47
2024-02-09,20240209,4,0,2,9,2024,1,6
2024-07-26,20240726,4,0,7,26,2024,3,30
2023-09-25,20230925,0,0,9,25,2023,3,39
2023-09-21,20230921,3,0,9,21,2023,3,38
2024-04-16,20240416,1,0,4,16,2024,2,16
2023-08-24,20230824,3,0,8,24,2023,3,34
2024-02-13,20240213,1,0,2,13,2024,1,7
2024-11-30,20241130,5,1,11,30,2024,4,48
2023-09-13,20230913,2,0,9,13,2023,3,37
2024-07-08,20240708,0,0,7,8,2024,3,28
2023-07-07,20230707,4,0,7,7,2023,3,27
2023-02-03,20230203,4,0,2,3,2023,1,5
2023-01-09,20230109,0,0,1,9,2023,1,2
2023-09-27,20230927,2,0,9,27,2023,3,39
2024-01-17,20240117,2,0,1,17,2024,1,3
2023-10-04,20231004,2,0,10,4,2023,4,40
2024-03-07,20240307,3,0,3,7,2024,1,10
2024-08-04,20240804,6,1,8,4,2024,3,32
2023-12-09,20231209,5,1,12,9,2023,4,49
2023-12-26,20231226,1,0,12,26,2023,4,52
2024-11-20,20241120,2,0,11,20,2024,4,47
2023-06-21,20230621,2,0,6,21,2023,2,25
2023-08-22,20230822,1,0,8,22,2023,3,34
2024-01-07,20240107,6,1,1,7,2024,1,2
2024-11-08,20241108,4,0,11,8,2024,4,45
2023-01-27,20230127,4,0,1,27,2023,1,4
2023-09-11,20230911,0,0,9,11,2023,3,37
2023-11-30,20231130,3,0,11,30,2023,4,48
2024-09-03,20240903,1,0,9,3,2024,3,36
2024-07-06,20240706,5,1,7,6,2024,3,27
2023-05-20,20230520,5,1,5,20,2023,2,20
2024-03-16,20240316,5,1,3,16,2024,1,11
2023-09-13,20230913,2,0,9,13,2023,3,37
2024-12-11,20241211,2,0,12,11,2024,4,50
2023-10-24,20231024,1,0,10,24,2023,4,43
2023-02-20,20230220,0,0,2,20,2023,1,8
2023-06-04,20230604,6,1,6,4,2023,2,23
2023-02-02,20230202,3,0,2,2,2023,1,5
2023-07-16,20230716,6,1,7,16,2023,3,29
2023-02-04,20230204,5,1,2,4,2023,1,5
2023-06-12,20230612,0,0,6,12,2023,2,24
2024-11-13,20241113,2,0,11,13,2024,4,46
2023-09-06,20230906,2,0,9,6,2023,3,36
2024-05-26,20240526,6,1,5,26,2024,2,22
2024-05-14,20240514,1,0,5,14,2024,2,20
2024-01-02,20240102,1,0,1,2,2024,1,1
