product_id,product_name,category,supplier_id,spoilage_sensitivity,supplier_score
FRO_FRO_512,Frozen Vegetables,Frozen_Meals,SUPPLIER_07,0.3,9
SEA_CRA_682,Crab,Seafood,SUPPLIER_10,0.95,8
DEL_PRE_552,Prepared Salads,Deli,SUPPLIER_16,0.75,10
SEA_LOB_186,Lobster,Seafood,SUPPLIER_20,0.95,9
PRO_AVO_417,Avocados,Produce,SUPPLIER_02,0.6,7
MEA_LAM_524,Lamb,Meat,SUPPLIER_13,0.9,10
DAI_SOU_981,Sour Cream,Dairy,SUPPLIER_06,0.7,8
DAI_CRE_355,Cream,Dairy,SUPPLIER_17,0.7,9
BEV_MIL_934,Milk Alternatives,Beverages,SUPPLIER_15,0.4,6
BEV_KOM_869,Kombucha,Beverages,SUPPLIER_17,0.4,9
MEA_GRO_392,Ground Beef,Meat,SUPPLIER_18,0.9,8
SEA_LOB_319,Lobster,Seafood,SUPPLIER_18,0.95,8
FRO_FRO_888,Frozen Dinners,Frozen_Meals,SUPPLIER_16,0.3,10
FRO_FRO_651,Frozen Dinners,Frozen_Meals,SUPPLIER_09,0.3,8
FRO_ICE_960,Ice Cream,Frozen_Meals,SUPPLIER_01,0.3,7
DAI_MIL_758,Milk,Dairy,SUPPLIER_02,0.7,7
DEL_SAL_879,Salami,Deli,SUPPLIER_03,0.75,9
DEL_TUR_765,Turkey Slices,Deli,SUPPLIER_01,0.75,7
REA_SAL_344,Salads,Ready_to_Eat,SUPPLIER_07,0.9,9
SEA_CRA_721,Crab,Seafood,SUPPLIER_19,0.95,10
FRO_FRO_832,Frozen Dinners,Frozen_Meals,SUPPLIER_10,0.3,8
REA_SAN_455,Sandwiches,Ready_to_Eat,SUPPLIER_17,0.9,9
BEV_FRE_543,Fresh Juice,Beverages,SUPPLIER_05,0.4,10
BAK_CRO_927,Croissants,Bakery,SUPPLIER_19,0.5,10
MEA_POR_561,Pork,Meat,SUPPLIER_01,0.9,7
PRO_BAN_916,Bananas,Produce,SUPPLIER_09,0.6,8
MEA_CHI_837,Chicken,Meat,SUPPLIER_16,0.9,10
DAI_MIL_401,Milk,Dairy,SUPPLIER_10,0.7,8
PHA_ANT_535,Antibiotics,Pharmaceuticals,SUPPLIER_15,0.85,6
PRO_BAN_222,Bananas,Produce,SUPPLIER_16,0.6,10
PHA_EYE_389,Eye Drops,Pharmaceuticals,SUPPLIER_12,0.85,6
SEA_TUN_146,Tuna,Seafood,SUPPLIER_05,0.95,10
DAI_CRE_391,Cream,Dairy,SUPPLIER_06,0.7,8
BEV_FRE_941,Fresh Juice,Beverages,SUPPLIER_19,0.4,10
REA_SUS_187,Sushi,Ready_to_Eat,SUPPLIER_20,0.9,9
FRO_FRO_553,Frozen Dinners,Frozen_Meals,SUPPLIER_19,0.3,10
MEA_SAU_312,Sausages,Meat,SUPPLIER_03,0.9,9
SEA_SAL_518,Salmon,Seafood,SUPPLIER_10,0.95,8
BEV_FRE_803,Fresh Juice,Beverages,SUPPLIER_07,0.4,9
SEA_TUN_946,Tuna,Seafood,SUPPLIER_10,0.95,8
BAK_MUF_227,Muffins,Bakery,SUPPLIER_13,0.5,10
BEV_FRE_712,Fresh Juice,Beverages,SUPPLIER_20,0.4,9
REA_SOU_121,Soups,Ready_to_Eat,SUPPLIER_06,0.9,8
BAK_PAS_699,Pastries,Bakery,SUPPLIER_16,0.5,10
MEA_SAU_264,Sausages,Meat,SUPPLIER_13,0.9,10
MEA_POR_358,Pork,Meat,SUPPLIER_01,0.9,7
DAI_CHE_630,Cheese,Dairy,SUPPLIER_15,0.7,6
SEA_TUN_548,Tuna,Seafood,SUPPLIER_20,0.95,9
PHA_INS_665,Insulin,Pharmaceuticals,SUPPLIER_15,0.85,6
BEV_KOM_621,Kombucha,Beverages,SUPPLIER_16,0.4,10
PRO_BER_620,Berries,Produce,SUPPLIER_14,0.6,6
DAI_YOG_843,Yogurt,Dairy,SUPPLIER_15,0.7,6
PHA_PRO_566,Probiotics,Pharmaceuticals,SUPPLIER_13,0.85,10
DEL_DIP_584,Dips,Deli,SUPPLIER_05,0.75,10
REA_SUS_990,Sushi,Ready_to_Eat,SUPPLIER_15,0.9,6
SEA_SAL_580,Salmon,Seafood,SUPPLIER_03,0.95,9
PHA_PRO_424,Probiotics,Pharmaceuticals,SUPPLIER_20,0.85,9
BAK_PAS_864,Pastries,Bakery,SUPPLIER_04,0.5,9
DAI_MIL_432,Milk,Dairy,SUPPLIER_14,0.7,6
SEA_SHR_279,Shrimp,Seafood,SUPPLIER_08,0.95,9
BEV_KOM_570,Kombucha,Beverages,SUPPLIER_10,0.4,8
DEL_HUM_406,Hummus,Deli,SUPPLIER_10,0.75,8
MEA_CHI_490,Chicken,Meat,SUPPLIER_10,0.9,8
BAK_BRE_679,Bread,Bakery,SUPPLIER_16,0.5,10
PRO_BER_921,Berries,Produce,SUPPLIER_09,0.6,8
SEA_LOB_199,Lobster,Seafood,SUPPLIER_15,0.95,6
MEA_POR_434,Pork,Meat,SUPPLIER_18,0.9,8
BAK_DON_268,Donuts,Bakery,SUPPLIER_11,0.5,6
SEA_TIL_331,Tilapia,Seafood,SUPPLIER_18,0.95,8
BAK_CRO_226,Croissants,Bakery,SUPPLIER_13,0.5,10
PRO_APP_125,Apples,Produce,SUPPLIER_08,0.6,9
BAK_BAG_518,Bagels,Bakery,SUPPLIER_10,0.5,8
PHA_VAC_497,Vaccines,Pharmaceuticals,SUPPLIER_05,0.85,10
BEV_MIL_517,Milk Alternatives,Beverages,SUPPLIER_07,0.4,9
DEL_HAM_802,Ham,Deli,SUPPLIER_13,0.75,10
BEV_FRE_778,Fresh Juice,Beverages,SUPPLIER_02,0.4,7
REA_SAL_170,Salads,Ready_to_Eat,SUPPLIER_11,0.9,6
DAI_YOG_979,Yogurt,Dairy,SUPPLIER_04,0.7,9
DEL_TUR_702,Turkey Slices,Deli,SUPPLIER_02,0.75,7
MEA_LAM_559,Lamb,Meat,SUPPLIER_08,0.9,9
PHA_ANT_569,Antibiotics,Pharmaceuticals,SUPPLIER_13,0.85,10
BEV_FRE_182,Fresh Juice,Beverages,SUPPLIER_05,0.4,10
DEL_PRE_711,Prepared Salads,Deli,SUPPLIER_20,0.75,9
PHA_BIO_986,Biologics,Pharmaceuticals,SUPPLIER_14,0.85,6
MEA_POR_537,Pork,Meat,SUPPLIER_16,0.9,10
FRO_PIZ_862,Pizza,Frozen_Meals,SUPPLIER_19,0.3,10
MEA_LAM_462,Lamb,Meat,SUPPLIER_20,0.9,9
PRO_TOM_772,Tomatoes,Produce,SUPPLIER_18,0.6,8
PRO_GRA_539,Grapes,Produce,SUPPLIER_09,0.6,8
BAK_CAK_459,Cakes,Bakery,SUPPLIER_13,0.5,10
MEA_GRO_643,Ground Beef,Meat,SUPPLIER_11,0.9,6
REA_SOU_186,Soups,Ready_to_Eat,SUPPLIER_20,0.9,9
FRO_FRO_721,Frozen Dinners,Frozen_Meals,SUPPLIER_17,0.3,9
REA_WRA_639,Wraps,Ready_to_Eat,SUPPLIER_13,0.9,10
BAK_PAS_885,Pastries,Bakery,SUPPLIER_04,0.5,9
SEA_COD_645,Cod,Seafood,SUPPLIER_13,0.95,10
BEV_FRE_982,Fresh Juice,Beverages,SUPPLIER_13,0.4,10
FRO_PIZ_432,Pizza,Frozen_Meals,SUPPLIER_03,0.3,9
REA_WRA_636,Wraps,Ready_to_Eat,SUPPLIER_11,0.9,6
PHA_BIO_216,Biologics,Pharmaceuticals,SUPPLIER_12,0.85,6
SEA_SHR_205,Shrimp,Seafood,SUPPLIER_20,0.95,9
SEA_TIL_743,Tilapia,Seafood,SUPPLIER_19,0.95,10
DEL_TUR_550,Turkey Slices,Deli,SUPPLIER_10,0.75,8
PHA_INS_417,Insulin,Pharmaceuticals,SUPPLIER_12,0.85,6
MEA_TUR_708,Turkey,Meat,SUPPLIER_18,0.9,8
BEV_MIL_767,Milk Alternatives,Beverages,SUPPLIER_17,0.4,9
DEL_DIP_186,Dips,Deli,SUPPLIER_08,0.75,9
PHA_EYE_262,Eye Drops,Pharmaceuticals,SUPPLIER_14,0.85,6
DEL_HAM_437,Ham,Deli,SUPPLIER_09,0.75,8
REA_SAL_441,Salads,Ready_to_Eat,SUPPLIER_10,0.9,8
SEA_CRA_825,Crab,Seafood,SUPPLIER_11,0.95,6
PHA_INS_761,Insulin,Pharmaceuticals,SUPPLIER_01,0.85,7
DEL_PRE_296,Prepared Salads,Deli,SUPPLIER_10,0.75,8
PHA_BIO_639,Biologics,Pharmaceuticals,SUPPLIER_20,0.85,9
SEA_TIL_809,Tilapia,Seafood,SUPPLIER_14,0.95,6
REA_SUS_870,Sushi,Ready_to_Eat,SUPPLIER_16,0.9,10
REA_WRA_572,Wraps,Ready_to_Eat,SUPPLIER_07,0.9,9
DAI_COT_592,Cottage Cheese,Dairy,SUPPLIER_17,0.7,9
SEA_TUN_560,Tuna,Seafood,SUPPLIER_08,0.95,9
DAI_BUT_154,Butter,Dairy,SUPPLIER_13,0.7,10
DEL_HAM_959,Ham,Deli,SUPPLIER_02,0.75,7
SEA_TIL_822,Tilapia,Seafood,SUPPLIER_01,0.95,7
REA_SOU_533,Soups,Ready_to_Eat,SUPPLIER_04,0.9,9
REA_WRA_164,Wraps,Ready_to_Eat,SUPPLIER_17,0.9,9
FRO_PIZ_729,Pizza,Frozen_Meals,SUPPLIER_06,0.3,8
MEA_TUR_657,Turkey,Meat,SUPPLIER_02,0.9,7
DAI_YOG_907,Yogurt,Dairy,SUPPLIER_04,0.7,9
SEA_SAL_460,Salmon,Seafood,SUPPLIER_15,0.95,6
SEA_SAL_833,Salmon,Seafood,SUPPLIER_02,0.95,7
BAK_CRO_507,Croissants,Bakery,SUPPLIER_07,0.5,9
DEL_SAL_227,Salami,Deli,SUPPLIER_15,0.75,6
BEV_COL_476,Cold Brew Coffee,Beverages,SUPPLIER_14,0.4,6
SEA_CRA_400,Crab,Seafood,SUPPLIER_10,0.95,8
SEA_LOB_554,Lobster,Seafood,SUPPLIER_12,0.95,6
DAI_MIL_787,Milk,Dairy,SUPPLIER_06,0.7,8
BEV_FRE_229,Fresh Juice,Beverages,SUPPLIER_13,0.4,10
BEV_KOM_480,Kombucha,Beverages,SUPPLIER_12,0.4,6
MEA_BEE_853,Beef,Meat,SUPPLIER_04,0.9,9
PRO_BER_392,Berries,Produce,SUPPLIER_05,0.6,10
BEV_FRE_929,Fresh Juice,Beverages,SUPPLIER_03,0.4,9
SEA_LOB_826,Lobster,Seafood,SUPPLIER_17,0.95,9
SEA_SHR_909,Shrimp,Seafood,SUPPLIER_19,0.95,10
SEA_CRA_188,Crab,Seafood,SUPPLIER_16,0.95,10
REA_SAN_228,Sandwiches,Ready_to_Eat,SUPPLIER_17,0.9,9
PHA_BIO_701,Biologics,Pharmaceuticals,SUPPLIER_02,0.85,7
SEA_SHR_430,Shrimp,Seafood,SUPPLIER_10,0.95,8
PHA_ANT_228,Antibiotics,Pharmaceuticals,SUPPLIER_03,0.85,9
REA_SAL_275,Salads,Ready_to_Eat,SUPPLIER_02,0.9,7
REA_SUS_766,Sushi,Ready_to_Eat,SUPPLIER_01,0.9,7
BAK_MUF_350,Muffins,Bakery,SUPPLIER_03,0.5,9
BEV_COL_308,Cold Brew Coffee,Beverages,SUPPLIER_11,0.4,6
SEA_TIL_479,Tilapia,Seafood,SUPPLIER_08,0.95,9
SEA_SAL_151,Salmon,Seafood,SUPPLIER_06,0.95,8
DEL_TUR_881,Turkey Slices,Deli,SUPPLIER_10,0.75,8
PHA_PRO_346,Probiotics,Pharmaceuticals,SUPPLIER_02,0.85,7
BEV_KOM_649,Kombucha,Beverages,SUPPLIER_09,0.4,8
DAI_BUT_152,Butter,Dairy,SUPPLIER_18,0.7,8
PHA_ANT_945,Antibiotics,Pharmaceuticals,SUPPLIER_05,0.85,10
DEL_HUM_474,Hummus,Deli,SUPPLIER_13,0.75,10
DEL_PRE_631,Prepared Salads,Deli,SUPPLIER_20,0.75,9
BAK_CRO_444,Croissants,Bakery,SUPPLIER_19,0.5,10
DEL_DIP_212,Dips,Deli,SUPPLIER_01,0.75,7
REA_SOU_333,Soups,Ready_to_Eat,SUPPLIER_17,0.9,9
FRO_ICE_941,Ice Cream,Frozen_Meals,SUPPLIER_04,0.3,9
SEA_COD_807,Cod,Seafood,SUPPLIER_02,0.95,7
DEL_DIP_589,Dips,Deli,SUPPLIER_15,0.75,6
BAK_CRO_595,Croissants,Bakery,SUPPLIER_10,0.5,8
BAK_BAG_312,Bagels,Bakery,SUPPLIER_16,0.5,10
BAK_CAK_224,Cakes,Bakery,SUPPLIER_13,0.5,10
SEA_TUN_143,Tuna,Seafood,SUPPLIER_15,0.95,6
PRO_GRA_651,Grapes,Produce,SUPPLIER_05,0.6,10
PRO_LET_785,Lettuce,Produce,SUPPLIER_04,0.6,9
SEA_SAL_663,Salmon,Seafood,SUPPLIER_07,0.95,9
DAI_SOU_191,Sour Cream,Dairy,SUPPLIER_02,0.7,7
SEA_SAL_956,Salmon,Seafood,SUPPLIER_10,0.95,8
REA_SAN_443,Sandwiches,Ready_to_Eat,SUPPLIER_17,0.9,9
DEL_TUR_848,Turkey Slices,Deli,SUPPLIER_06,0.75,8
REA_FRE_875,Fresh Pasta,Ready_to_Eat,SUPPLIER_17,0.9,9
SEA_SHR_588,Shrimp,Seafood,SUPPLIER_13,0.95,10
DEL_SAL_696,Salami,Deli,SUPPLIER_12,0.75,6
BEV_KOM_263,Kombucha,Beverages,SUPPLIER_10,0.4,8
BAK_CAK_729,Cakes,Bakery,SUPPLIER_05,0.5,10
FRO_FRO_582,Frozen Desserts,Frozen_Meals,SUPPLIER_20,0.3,9
PHA_BIO_470,Biologics,Pharmaceuticals,SUPPLIER_18,0.85,8
SEA_SHR_435,Shrimp,Seafood,SUPPLIER_07,0.95,9
PHA_PRO_928,Probiotics,Pharmaceuticals,SUPPLIER_14,0.85,6
BAK_BAG_122,Bagels,Bakery,SUPPLIER_07,0.5,9
MEA_TUR_161,Turkey,Meat,SUPPLIER_14,0.9,6
FRO_FRO_491,Frozen Vegetables,Frozen_Meals,SUPPLIER_18,0.3,8
SEA_CRA_502,Crab,Seafood,SUPPLIER_01,0.95,7
PHA_PRO_644,Probiotics,Pharmaceuticals,SUPPLIER_12,0.85,6
MEA_BEE_928,Beef,Meat,SUPPLIER_07,0.9,9
REA_FRE_820,Fresh Pasta,Ready_to_Eat,SUPPLIER_15,0.9,6
DAI_CHE_615,Cheese,Dairy,SUPPLIER_19,0.7,10
PRO_BAN_997,Bananas,Produce,SUPPLIER_10,0.6,8
SEA_LOB_795,Lobster,Seafood,SUPPLIER_12,0.95,6
PHA_ANT_813,Antibiotics,Pharmaceuticals,SUPPLIER_13,0.85,10
PRO_BAN_978,Bananas,Produce,SUPPLIER_18,0.6,8
SEA_COD_348,Cod,Seafood,SUPPLIER_03,0.95,9
PHA_BIO_949,Biologics,Pharmaceuticals,SUPPLIER_20,0.85,9
REA_FRE_787,Fresh Pasta,Ready_to_Eat,SUPPLIER_11,0.9,6
PRO_AVO_220,Avocados,Produce,SUPPLIER_08,0.6,9
BEV_MIL_764,Milk Alternatives,Beverages,SUPPLIER_17,0.4,9
BEV_KOM_308,Kombucha,Beverages,SUPPLIER_19,0.4,10
BAK_CRO_698,Croissants,Bakery,SUPPLIER_05,0.5,10
PRO_APP_663,Apples,Produce,SUPPLIER_16,0.6,10
BEV_SMO_850,Smoothies,Beverages,SUPPLIER_18,0.4,8
DAI_CRE_134,Cream,Dairy,SUPPLIER_01,0.7,7
MEA_GRO_254,Ground Beef,Meat,SUPPLIER_12,0.9,6
REA_WRA_775,Wraps,Ready_to_Eat,SUPPLIER_18,0.9,8
BAK_CRO_393,Croissants,Bakery,SUPPLIER_14,0.5,6
MEA_TUR_252,Turkey,Meat,SUPPLIER_09,0.9,8
MEA_POR_515,Pork,Meat,SUPPLIER_10,0.9,8
DAI_MIL_515,Milk,Dairy,SUPPLIER_02,0.7,7
BEV_COL_760,Cold Brew Coffee,Beverages,SUPPLIER_02,0.4,7
REA_WRA_377,Wraps,Ready_to_Eat,SUPPLIER_19,0.9,10
DEL_HAM_312,Ham,Deli,SUPPLIER_10,0.75,8
FRO_FRO_439,Frozen Desserts,Frozen_Meals,SUPPLIER_12,0.3,6
MEA_POR_719,Pork,Meat,SUPPLIER_09,0.9,8
DEL_HUM_484,Hummus,Deli,SUPPLIER_20,0.75,9
MEA_POR_257,Pork,Meat,SUPPLIER_12,0.9,6
BEV_KOM_879,Kombucha,Beverages,SUPPLIER_06,0.4,8
FRO_PIZ_126,Pizza,Frozen_Meals,SUPPLIER_20,0.3,9
DAI_YOG_523,Yogurt,Dairy,SUPPLIER_18,0.7,8
PHA_VAC_801,Vaccines,Pharmaceuticals,SUPPLIER_10,0.85,8
FRO_FRO_531,Frozen Vegetables,Frozen_Meals,SUPPLIER_12,0.3,6
BEV_MIL_731,Milk Alternatives,Beverages,SUPPLIER_10,0.4,8
REA_WRA_923,Wraps,Ready_to_Eat,SUPPLIER_20,0.9,9
PRO_APP_421,Apples,Produce,SUPPLIER_16,0.6,10
FRO_FRO_936,Frozen Vegetables,Frozen_Meals,SUPPLIER_07,0.3,9
PHA_INS_844,Insulin,Pharmaceuticals,SUPPLIER_03,0.85,9
BEV_SMO_748,Smoothies,Beverages,SUPPLIER_05,0.4,10
BEV_MIL_590,Milk Alternatives,Beverages,SUPPLIER_14,0.4,6
PHA_EYE_753,Eye Drops,Pharmaceuticals,SUPPLIER_12,0.85,6
FRO_FRO_915,Frozen Vegetables,Frozen_Meals,SUPPLIER_09,0.3,8
REA_FRE_689,Fresh Pasta,Ready_to_Eat,SUPPLIER_15,0.9,6
SEA_TUN_125,Tuna,Seafood,SUPPLIER_03,0.95,9
DEL_SAL_451,Salami,Deli,SUPPLIER_12,0.75,6
BEV_KOM_168,Kombucha,Beverages,SUPPLIER_01,0.4,7
SEA_LOB_349,Lobster,Seafood,SUPPLIER_18,0.95,8
FRO_ICE_290,Ice Cream,Frozen_Meals,SUPPLIER_20,0.3,9
FRO_PIZ_821,Pizza,Frozen_Meals,SUPPLIER_03,0.3,9
SEA_TUN_433,Tuna,Seafood,SUPPLIER_16,0.95,10
FRO_FRO_501,Frozen Desserts,Frozen_Meals,SUPPLIER_15,0.3,6
BAK_CRO_704,Croissants,Bakery,SUPPLIER_04,0.5,9
SEA_CRA_497,Crab,Seafood,SUPPLIER_13,0.95,10
SEA_CRA_270,Crab,Seafood,SUPPLIER_11,0.95,6
DEL_HAM_596,Ham,Deli,SUPPLIER_17,0.75,9
FRO_FRO_600,Frozen Dinners,Frozen_Meals,SUPPLIER_08,0.3,9
BAK_PAS_899,Pastries,Bakery,SUPPLIER_16,0.5,10
BAK_DON_656,Donuts,Bakery,SUPPLIER_15,0.5,6
PRO_BAN_995,Bananas,Produce,SUPPLIER_03,0.6,9
PRO_TOM_930,Tomatoes,Produce,SUPPLIER_14,0.6,6
PRO_GRA_160,Grapes,Produce,SUPPLIER_20,0.6,9
BAK_CAK_686,Cakes,Bakery,SUPPLIER_05,0.5,10
DAI_YOG_987,Yogurt,Dairy,SUPPLIER_05,0.7,10
FRO_FRO_245,Frozen Dinners,Frozen_Meals,SUPPLIER_15,0.3,6
MEA_LAM_627,Lamb,Meat,SUPPLIER_11,0.9,6
MEA_GRO_569,Ground Beef,Meat,SUPPLIER_13,0.9,10
BEV_KOM_430,Kombucha,Beverages,SUPPLIER_05,0.4,10
DAI_MIL_201,Milk,Dairy,SUPPLIER_04,0.7,9
DAI_BUT_307,Butter,Dairy,SUPPLIER_09,0.7,8
DEL_DIP_764,Dips,Deli,SUPPLIER_10,0.75,8
MEA_GRO_197,Ground Beef,Meat,SUPPLIER_05,0.9,10
DAI_MIL_812,Milk,Dairy,SUPPLIER_05,0.7,10
MEA_BEE_420,Beef,Meat,SUPPLIER_05,0.9,10
PHA_EYE_108,Eye Drops,Pharmaceuticals,SUPPLIER_12,0.85,6
FRO_FRO_803,Frozen Desserts,Frozen_Meals,SUPPLIER_05,0.3,10
DEL_PRE_422,Prepared Salads,Deli,SUPPLIER_03,0.75,9
REA_SUS_897,Sushi,Ready_to_Eat,SUPPLIER_17,0.9,9
BAK_BAG_155,Bagels,Bakery,SUPPLIER_08,0.5,9
DAI_YOG_424,Yogurt,Dairy,SUPPLIER_12,0.7,6
MEA_BEE_701,Beef,Meat,SUPPLIER_02,0.9,7
PHA_ANT_743,Antibiotics,Pharmaceuticals,SUPPLIER_13,0.85,10
SEA_TUN_185,Tuna,Seafood,SUPPLIER_18,0.95,8
MEA_POR_815,Pork,Meat,SUPPLIER_03,0.9,9
REA_SAN_416,Sandwiches,Ready_to_Eat,SUPPLIER_05,0.9,10
DEL_HUM_629,Hummus,Deli,SUPPLIER_09,0.75,8
DAI_YOG_926,Yogurt,Dairy,SUPPLIER_09,0.7,8
BEV_COL_623,Cold Brew Coffee,Beverages,SUPPLIER_06,0.4,8
REA_FRE_840,Fresh Pasta,Ready_to_Eat,SUPPLIER_01,0.9,7
SEA_SHR_978,Shrimp,Seafood,SUPPLIER_14,0.95,6
DEL_SAL_945,Salami,Deli,SUPPLIER_17,0.75,9
PHA_INS_510,Insulin,Pharmaceuticals,SUPPLIER_10,0.85,8
DEL_TUR_398,Turkey Slices,Deli,SUPPLIER_08,0.75,9
PRO_AVO_659,Avocados,Produce,SUPPLIER_01,0.6,7
DAI_YOG_101,Yogurt,Dairy,SUPPLIER_10,0.7,8
FRO_FRO_161,Frozen Dinners,Frozen_Meals,SUPPLIER_08,0.3,9
DEL_PRE_865,Prepared Salads,Deli,SUPPLIER_05,0.75,10
REA_SAN_545,Sandwiches,Ready_to_Eat,SUPPLIER_09,0.9,8
DEL_SAL_563,Salami,Deli,SUPPLIER_05,0.75,10
MEA_CHI_560,Chicken,Meat,SUPPLIER_18,0.9,8
BAK_MUF_371,Muffins,Bakery,SUPPLIER_10,0.5,8
PRO_GRA_977,Grapes,Produce,SUPPLIER_08,0.6,9
BAK_CAK_939,Cakes,Bakery,SUPPLIER_18,0.5,8
MEA_SAU_912,Sausages,Meat,SUPPLIER_08,0.9,9
MEA_TUR_700,Turkey,Meat,SUPPLIER_07,0.9,9
MEA_SAU_949,Sausages,Meat,SUPPLIER_02,0.9,7
FRO_FRO_130,Frozen Dinners,Frozen_Meals,SUPPLIER_07,0.3,9
SEA_SAL_728,Salmon,Seafood,SUPPLIER_10,0.95,8
DAI_MIL_386,Milk,Dairy,SUPPLIER_17,0.7,9
DAI_BUT_900,Butter,Dairy,SUPPLIER_16,0.7,10
FRO_FRO_284,Frozen Vegetables,Frozen_Meals,SUPPLIER_09,0.3,8
DEL_HUM_338,Hummus,Deli,SUPPLIER_08,0.75,9
DAI_SOU_324,Sour Cream,Dairy,SUPPLIER_06,0.7,8
DEL_HUM_128,Hummus,Deli,SUPPLIER_19,0.75,10
BEV_MIL_416,Milk Alternatives,Beverages,SUPPLIER_02,0.4,7
BEV_FRE_439,Fresh Juice,Beverages,SUPPLIER_06,0.4,8
DAI_MIL_251,Milk,Dairy,SUPPLIER_04,0.7,9
DEL_DIP_778,Dips,Deli,SUPPLIER_10,0.75,8
FRO_FRO_764,Frozen Dinners,Frozen_Meals,SUPPLIER_20,0.3,9
SEA_COD_414,Cod,Seafood,SUPPLIER_01,0.95,7
REA_SAN_286,Sandwiches,Ready_to_Eat,SUPPLIER_19,0.9,10
MEA_CHI_455,Chicken,Meat,SUPPLIER_11,0.9,6
MEA_POR_362,Pork,Meat,SUPPLIER_15,0.9,6
FRO_FRO_487,Frozen Dinners,Frozen_Meals,SUPPLIER_16,0.3,10
PRO_TOM_562,Tomatoes,Produce,SUPPLIER_11,0.6,6
SEA_COD_264,Cod,Seafood,SUPPLIER_20,0.95,9
DAI_BUT_769,Butter,Dairy,SUPPLIER_02,0.7,7
FRO_FRO_839,Frozen Desserts,Frozen_Meals,SUPPLIER_08,0.3,9
BEV_SMO_155,Smoothies,Beverages,SUPPLIER_10,0.4,8
PRO_LET_126,Lettuce,Produce,SUPPLIER_03,0.6,9
FRO_FRO_600,Frozen Dinners,Frozen_Meals,SUPPLIER_18,0.3,8
DEL_TUR_556,Turkey Slices,Deli,SUPPLIER_09,0.75,8
SEA_TIL_813,Tilapia,Seafood,SUPPLIER_12,0.95,6
REA_SAL_666,Salads,Ready_to_Eat,SUPPLIER_16,0.9,10
MEA_LAM_974,Lamb,Meat,SUPPLIER_15,0.9,6
PRO_TOM_143,Tomatoes,Produce,SUPPLIER_05,0.6,10
